Universidad,Link,Fecha
udea,https://soundcloud.com/radiodelaurbe/la-vida-de-un-desmovilizado-de-las-farc-y-las-auc,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/jep-justicia-verdad-o-mito,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/la-moe,1/01/2017
udea,https://soundcloud.com/radiodelaurbe/el-15-de-marzo-se-conmemora-el-dia-internacional-de-victimas-de-crimenes-de-estado,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/la-inagotable-b-squeda-de-la,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/la-inagotable-busqueda-de-la-paz,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/hay-una-mentalidad-beligerante-que-busca-minar-los-acuerdos-de-paz-gregorio-enriquez,1/01/2019
udea,https://soundcloud.com/uninortefm/en-todos-cuetanconstruccion-de-paz-con-luz-romero-oct-12,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/arte-como-terapia-las-victimas-del-conflicto-recuerdan-sin-dolor,1/01/2018
universidadManizales,https://soundcloud.com/umcentral-umfm/el-vespertino-investigaciones-al-conflicto-armado-y-comunidad-lgbtiq,1/11/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/el-vespertino-proyecto-memorias-de-las-victimas-consorcio-colombia-y-feria-ficma,1/11/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/conciencia-historica-del-conflicto-armado-y-procesos-de-construccion-de-paz,1/10/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/la-jep-ordeno-medidas-sobre-cementerios-de-caldas,1/10/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/se-realiza-estrategia-para-ninos-victimas-del-conflicto-en-el-eje-cafetero,1/10/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-10-marzo-audios-mp3_rf_66626298_1.html,10/03/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-3-de-audios-mp3_rf_66294986_1.html,3/03/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-24-febrero-audios-mp3_rf_65932861_1.html,24/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-17-febrero-2021-audios-mp3_rf_65595772_1.html,17/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-10-de-audios-mp3_rf_65266420_1.html,10/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-25-de-audios-mp3_rf_60944901_1.html,25/11/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-11-de-audios-mp3_rf_60271140_1.html,11/11/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-28-de-audios-mp3_rf_58635665_1.html,28/10/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-30-septiembre-audios-mp3_rf_57289826_1.html,30/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-16-septiembre-audios-mp3_rf_56627019_1.html,16/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-2-septiembre-audios-mp3_rf_56016878_1.html,2/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-26-de-audios-mp3_rf_55725457_1.html,26/08/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-29-julio-audios-mp3_rf_54560016_1.html,29/07/2020
bolivarianaBucaramanga,https://www.ivoox.com/voces-verdad-audios-mp3_rf_51878961_1.html,9/06/2020
bolivarianaBucaramanga,https://www.ivoox.com/nunca-mas-ninos-ninas-guerra-audios-mp3_rf_51695503_1.html,3/06/2020
bolivarianaBucaramanga,https://www.ivoox.com/voces-mujeres-personas-lgbti-audios-mp3_rf_51449988_1.html,26/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/enfoque-curso-vida-discapacidad-audios-mp3_rf_51190964_1.html,19/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-mayo-13-audios-mp3_rf_50997805_1.html,13/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-mayo-06-audios-mp3_rf_50781173_1.html,6/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-abril-29-audios-mp3_rf_50546161_1.html,29/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/conversaciones-lideres-juveniles-embajadores-audios-mp3_rf_50333363_1.html,23/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-abril-15-audios-mp3_rf_50049198_1.html,15/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-de-la-verdad-marzo-11-conversaciones-audios-mp3_rf_48806962_1.html,11/03/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-enfoque-curso-audios-mp3_rf_48501040_1.html,4/03/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-26-febrero-audios-mp3_rf_48250637_1.html,26/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-19-febrero-audios-mp3_rf_48190424_1.html,19/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-12-de-audios-mp3_rf_47658922_1.html,12/02/2020
bolivarianaBucaramanga,ivoox.com/comision-verdad-5-de-audios-mp3_rf_47397614_1.html,5/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-15-enero-audios-mp3_rf_45171609_1.html,15/01/2021
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-4-diciembre-audios-mp3_rf_45106719_1.html,4/12/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-27-noviembre-audios-mp3_rf_44848841_1.html,27/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-20-noviembre-audios-mp3_rf_44631994_1.html,20/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-13-noviembre-audios-mp3_rf_44326819_1.html,13/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-6-noviembre-audios-mp3_rf_44039322_1.html,6/11/2019
fundacionUniversitariaPopayan,https://soundcloud.com/ut-picos-usc/no-queremos-guerra-queremos-la,1/01/2014
